,0
799,1
800,1
801,3
802,1
803,1
804,18
805,20
806,8
807,7
808,6
809,2
810,2
811,3
812,1
813,2
814,11
815,1
816,7
817,2
818,4
819,2
820,1
821,6
822,2
823,10
824,11
825,6
826,6
827,19
828,1
829,1
830,8
831,6
832,12
833,5
834,9
835,1
836,1
837,16
838,20
839,1
840,3
841,3
842,1
843,2
844,2
845,2
846,1
847,2
848,1
849,1
850,1
851,2
852,2
853,6
854,2
855,1
856,2
857,1
858,3
859,3
860,2
861,9
862,1
863,11
864,2
865,1
866,3
867,1
868,2
869,2
870,4
871,4
872,2
873,3
874,1
875,1
876,1
877,2
878,1
879,1
880,3
881,6
882,2
883,1
884,3
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,8
894,1
895,10
896,2
897,2
898,2
899,11
900,5
901,3
902,6
903,3
904,3
905,3
906,3
907,3
908,12
909,5
910,3
911,5
912,4
913,2
914,2
915,2
916,3
917,1
918,8
919,1
920,1
921,1
922,1
923,4
924,9
925,3
926,3
927,5
928,3
929,3
930,7
931,7
932,8
933,3
934,1
935,1
936,3
937,1
938,19
939,3
940,1
941,18
942,4
943,2
944,16
945,14
946,11
947,1
948,2
949,3
950,4
951,1
952,1
953,20
954,171
955,3
956,1
957,9
958,2
959,1
960,1
961,3
962,1
963,1
964,3
965,1
966,3
967,1
968,6
969,1
970,7
971,7
972,1
973,4
974,14
975,8
976,1
977,2
978,1
979,1
980,1
981,14
982,1
983,14
984,5
985,2
986,2
987,3
988,4
989,4
990,1
991,1
992,1
993,1
994,3
995,7
996,2
997,3
998,1
999,14
1000,3
1001,3
1002,1
1003,1
1004,5
1005,16
1006,11
1007,7
1008,9
1009,4
1010,2
1011,2
1012,3
1013,3
1014,2
1015,3
1016,8
1017,2
1018,2
1019,1
1020,1
1021,2
1022,2
1023,2
1024,3
1025,3
1026,2
1027,2
1028,2
1029,2
1030,2
1031,4
1032,3
1033,2
1034,3
1035,3
1036,3
1037,3
1038,2
1039,3
1040,3
1041,3
1042,3
1043,2
1044,3
1045,3
1046,3
1047,2
1048,2
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,2
1059,2
1060,2
1061,2
1062,2
1063,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,7
1082,2
1083,2
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,3
1097,2
1098,2
1099,2
1100,2
1101,3
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
1116,2
1117,4
1118,2
1119,2
1120,2
1121,3
1122,2
1123,2
1124,2
1125,2
1126,2
1127,2
1128,2
1129,3
1130,2
1131,2
1132,2
1133,4
1134,2
1135,3
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,2
1149,2
1150,2
1151,2
1152,2
1153,2
1154,3
1155,4
1156,2
1157,2
1158,4
1159,2
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,2
1168,5
1169,2
1170,4
1171,2
1172,2
1173,2
1174,2
1175,2
1176,2
1177,2
1178,2
1179,2
1180,2
1181,2
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1188,2
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,2
1197,2
1198,2
1199,2
1200,2
1201,2
1202,2
1203,2
1204,2
1205,2
1206,2
1207,2
1208,2
1209,2
1210,2
1211,3
1212,2
1213,2
1214,2
1215,4
1216,2
1217,2
1218,4
1219,2
1220,2
1221,4
1222,2
1223,2
1224,2
1225,2
1226,2
1227,2
1228,2
1229,2
1230,4
1231,2
1232,4
1233,2
1234,3
1235,17
1236,1
1237,1
1238,1
1239,1
1240,3
1241,1
1242,2
1243,1
1244,5
1245,1
1246,1
1247,1
1248,1
1249,1
1250,3
1251,1
1252,9
1253,3
1254,12
1255,2
1256,1
1257,6
1258,4
1259,1
1260,2
1261,1
1262,2
1263,1
1264,1
1265,1
1266,8
1267,5
1268,2
1269,3
1270,1
1271,6
1272,1
1273,3
1274,1
1275,3
1276,1
1277,1
1278,1
1279,1
1280,3
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,6
1290,1
1291,1
1292,3
1293,2
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,2
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,5
1309,1
1310,1
1311,1
1312,2
1313,1
1314,3
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,3
1325,2
1326,2
1327,12
1328,1
1329,1
1330,2
1331,1
1332,1
1333,1
1334,1
1335,1
1336,2
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,2
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,5
1371,5
1372,2
1373,3
1374,1
1375,1
1376,9
1377,4
1378,1
1379,2
1380,2
1381,2
1382,2
1383,2
1384,2
1385,1
1386,4
1387,2
1388,7
1389,2
1390,1
1391,16
1392,4
1393,2
1394,2
1395,3
1396,2
1397,2
1398,4
1399,5
1400,2
1401,2
1402,3
1403,6
1404,2
1405,2
1406,2
1407,4
1408,4
1409,1
1410,1
1411,1
1412,1
1413,2
1414,2
1415,2
1416,6
1417,3
1418,1
1419,3
1420,1
1421,1
1422,1
1423,1
1424,2
1425,4
1426,1
1427,2
1428,2
1429,2
1430,4
1431,2
1432,1
1433,2
1434,2
1435,1
1436,2
1437,2
1438,4
1439,1
1440,1
1441,2
1442,1
1443,1
1444,1
1445,1
1446,3
1447,1
1448,1
1449,1
1450,2
1451,2
1452,1
1453,2
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,2
1461,3
1462,2
1463,1
1464,1
1465,1
1466,2
1467,3
1468,3
1469,3
1470,1
1471,1
1472,1
1473,1
1474,1
1475,9
1476,2
1477,2
1478,2
1479,2
1480,10
1481,9
1482,2
1483,5
1484,1
1485,4
1486,3
1487,3
1488,3
1489,2
1490,2
1491,2
1492,1
1493,2
1494,1
1495,2
1496,1
1497,2
1498,1
1499,2
1500,1
1501,2
1502,2
1503,2
1504,1
1505,3
1506,11
1507,11
1508,2
1509,2
1510,2
1511,2
1512,1
1513,1
1514,8
1515,2
1516,1
1517,1
1518,1
1519,2
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,16
1528,1
1529,18
1530,1
1531,1
1532,2
1533,1
1534,1
1535,2
1536,2
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
